iter	Logloss
0	0.692041556
1	0.6905005773
2	0.6893250148
3	0.6874959469
4	0.686404864
5	0.6853100459
6	0.6842224598
7	0.6830560366
8	0.6817498207
9	0.6805950801
10	0.6794401805
11	0.6781449318
12	0.6771410306
13	0.675810496
14	0.6747407118
15	0.6739184062
16	0.6729273796
17	0.6717873414
18	0.6705417633
19	0.6690781911
20	0.6680935224
21	0.6671117942
22	0.6658777396
23	0.6641231378
24	0.6628953218
25	0.6616373857
26	0.6603085995
27	0.6590915124
28	0.6576750278
29	0.6567141215
30	0.6553765138
31	0.6542746226
32	0.6525689761
33	0.6511571407
34	0.6501355171
35	0.6489084562
36	0.6477890015
37	0.6468451023
38	0.6455006202
39	0.6444922288
40	0.6433811585
41	0.6425804297
42	0.6414059401
43	0.6397778193
44	0.6385054588
45	0.6375798384
46	0.6365175247
47	0.6355956793
48	0.6342411041
49	0.6333276431
50	0.6324118376
51	0.6314285994
52	0.6297915777
53	0.628663063
54	0.627519846
55	0.6260853211
56	0.6250498295
57	0.6240811348
58	0.6231159369
59	0.6219331423
60	0.6207068761
61	0.6194969813
62	0.6184720198
63	0.6175191402
64	0.6164689461
65	0.6153526306
66	0.6144051949
67	0.6133643389
68	0.6124201616
69	0.6114412149
70	0.6105013291
71	0.6092811823
72	0.6079976161
73	0.6068356832
74	0.6055963834
75	0.604571104
76	0.6034032106
77	0.6023187637
78	0.6014657418
79	0.6001696587
80	0.5990924438
81	0.5980165005
82	0.5971060991
83	0.5962587198
84	0.5953803062
85	0.5945389271
86	0.593333602
87	0.5922124783
88	0.5910761356
89	0.5900208155
90	0.5890289942
91	0.5879801512
92	0.5870887041
93	0.5859481494
94	0.5849988461
95	0.5840529998
96	0.5830400785
97	0.5822803179
98	0.5811692079
99	0.579961737
100	0.5788798332
101	0.5780738195
102	0.577265501
103	0.5761059125
104	0.57508564
105	0.5736629963
106	0.5728634993
107	0.5718011856
108	0.5710882346
109	0.5701401234
110	0.569104592
111	0.5679175854
112	0.5666249593
113	0.5656897227
114	0.5647857984
115	0.5637878974
116	0.5628895362
117	0.561990579
118	0.5610312621
119	0.5602588256
120	0.5592339834
121	0.5576877197
122	0.5568596919
123	0.555752635
124	0.5549899737
125	0.5541095734
126	0.5532877843
127	0.5522321065
128	0.5508339802
129	0.5493192275
130	0.5484181245
131	0.547552983
132	0.5466570059
133	0.5457808971
134	0.544891119
135	0.5435277621
136	0.5426409642
137	0.5418425401
138	0.5410501162
139	0.539981842
140	0.5387552579
141	0.5377830664
142	0.5369392236
143	0.5360647043
144	0.5354139805
145	0.534602801
146	0.5338217815
147	0.5327970982
148	0.5319933494
149	0.5312678019
150	0.5305515925
151	0.5292306741
152	0.5284645557
153	0.5276146332
154	0.5269023577
155	0.5261927446
156	0.5255301793
157	0.5244437853
158	0.5236854951
159	0.5228919983
160	0.521968166
161	0.5212094784
162	0.5204017957
163	0.5197122494
164	0.5187398593
165	0.5179372231
166	0.5171895425
167	0.5164415836
168	0.5156184038
169	0.5148759683
170	0.5138792197
171	0.5131112734
172	0.5120616357
173	0.5112466017
174	0.5105630557
175	0.509649992
176	0.508838892
177	0.5078853369
178	0.5070758263
179	0.5063540538
180	0.5053774516
181	0.504603227
182	0.5038308303
183	0.5031597614
184	0.5022470951
185	0.5016925335
186	0.5009809732
187	0.5002676249
188	0.4996118546
189	0.4987313747
190	0.4979708989
191	0.4971518517
192	0.4963131348
193	0.4956077735
194	0.4949593941
195	0.4941266378
196	0.4932386875
197	0.4923763673
198	0.4915458361
199	0.4907745918
200	0.4898366133
201	0.48914663
202	0.4882740577
203	0.4875335693
204	0.4866933823
205	0.4858003457
206	0.485171477
207	0.4844899178
208	0.4839233557
209	0.4831337134
210	0.4822408358
211	0.4814378818
212	0.4805180232
213	0.4797923565
214	0.4791746934
215	0.4785064061
216	0.4777066708
217	0.4768229326
218	0.4761065642
219	0.475170056
220	0.4745621284
221	0.4738999605
222	0.4731919765
223	0.4724755287
224	0.4716343085
225	0.47098279
226	0.4703302781
227	0.4693572521
228	0.4687058131
229	0.4679350853
230	0.4672132333
231	0.4665677945
232	0.4659717083
233	0.465277036
234	0.4644390742
235	0.4637494087
236	0.4632138809
237	0.462379694
238	0.461669445
239	0.4610822201
240	0.4603993495
241	0.4597615401
242	0.4591285785
243	0.4583801428
244	0.4577974478
245	0.4572357337
246	0.4565550486
247	0.4559795459
248	0.4553063313
249	0.4547283649
250	0.4537372192
251	0.453164498
252	0.4524007638
253	0.4516584476
254	0.450998346
255	0.450213472
256	0.449552695
257	0.448941191
258	0.4485108058
259	0.44794782
260	0.4472673734
261	0.4466132323
262	0.446051995
263	0.4452484449
